----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 96, 56, 56]           4,704
       LayerNorm2d-2           [-1, 96, 56, 56]             192
            Conv2d-3           [-1, 96, 56, 56]           4,800
           Permute-4           [-1, 56, 56, 96]               0
         LayerNorm-5           [-1, 56, 56, 96]             192
            Linear-6          [-1, 56, 56, 384]          37,248
              GELU-7          [-1, 56, 56, 384]               0
            Linear-8           [-1, 56, 56, 96]          36,960
           Permute-9           [-1, 96, 56, 56]               0
  StochasticDepth-10           [-1, 96, 56, 56]               0
          CNBlock-11           [-1, 96, 56, 56]               0
           Conv2d-12           [-1, 96, 56, 56]           4,800
          Permute-13           [-1, 56, 56, 96]               0
        LayerNorm-14           [-1, 56, 56, 96]             192
           Linear-15          [-1, 56, 56, 384]          37,248
             GELU-16          [-1, 56, 56, 384]               0
           Linear-17           [-1, 56, 56, 96]          36,960
          Permute-18           [-1, 96, 56, 56]               0
  StochasticDepth-19           [-1, 96, 56, 56]               0
          CNBlock-20           [-1, 96, 56, 56]               0
           Conv2d-21           [-1, 96, 56, 56]           4,800
          Permute-22           [-1, 56, 56, 96]               0
        LayerNorm-23           [-1, 56, 56, 96]             192
           Linear-24          [-1, 56, 56, 384]          37,248
             GELU-25          [-1, 56, 56, 384]               0
           Linear-26           [-1, 56, 56, 96]          36,960
          Permute-27           [-1, 96, 56, 56]               0
  StochasticDepth-28           [-1, 96, 56, 56]               0
          CNBlock-29           [-1, 96, 56, 56]               0
      LayerNorm2d-30           [-1, 96, 56, 56]             192
           Conv2d-31          [-1, 192, 28, 28]          73,920
           Conv2d-32          [-1, 192, 28, 28]           9,600
          Permute-33          [-1, 28, 28, 192]               0
        LayerNorm-34          [-1, 28, 28, 192]             384
           Linear-35          [-1, 28, 28, 768]         148,224
             GELU-36          [-1, 28, 28, 768]               0
           Linear-37          [-1, 28, 28, 192]         147,648
          Permute-38          [-1, 192, 28, 28]               0
  StochasticDepth-39          [-1, 192, 28, 28]               0
          CNBlock-40          [-1, 192, 28, 28]               0
           Conv2d-41          [-1, 192, 28, 28]           9,600
          Permute-42          [-1, 28, 28, 192]               0
        LayerNorm-43          [-1, 28, 28, 192]             384
           Linear-44          [-1, 28, 28, 768]         148,224
             GELU-45          [-1, 28, 28, 768]               0
           Linear-46          [-1, 28, 28, 192]         147,648
          Permute-47          [-1, 192, 28, 28]               0
  StochasticDepth-48          [-1, 192, 28, 28]               0
          CNBlock-49          [-1, 192, 28, 28]               0
           Conv2d-50          [-1, 192, 28, 28]           9,600
          Permute-51          [-1, 28, 28, 192]               0
        LayerNorm-52          [-1, 28, 28, 192]             384
           Linear-53          [-1, 28, 28, 768]         148,224
             GELU-54          [-1, 28, 28, 768]               0
           Linear-55          [-1, 28, 28, 192]         147,648
          Permute-56          [-1, 192, 28, 28]               0
  StochasticDepth-57          [-1, 192, 28, 28]               0
          CNBlock-58          [-1, 192, 28, 28]               0
      LayerNorm2d-59          [-1, 192, 28, 28]             384
           Conv2d-60          [-1, 384, 14, 14]         295,296
           Conv2d-61          [-1, 384, 14, 14]          19,200
          Permute-62          [-1, 14, 14, 384]               0
        LayerNorm-63          [-1, 14, 14, 384]             768
           Linear-64         [-1, 14, 14, 1536]         591,360
             GELU-65         [-1, 14, 14, 1536]               0
           Linear-66          [-1, 14, 14, 384]         590,208
          Permute-67          [-1, 384, 14, 14]               0
  StochasticDepth-68          [-1, 384, 14, 14]               0
          CNBlock-69          [-1, 384, 14, 14]               0
           Conv2d-70          [-1, 384, 14, 14]          19,200
          Permute-71          [-1, 14, 14, 384]               0
        LayerNorm-72          [-1, 14, 14, 384]             768
           Linear-73         [-1, 14, 14, 1536]         591,360
             GELU-74         [-1, 14, 14, 1536]               0
           Linear-75          [-1, 14, 14, 384]         590,208
          Permute-76          [-1, 384, 14, 14]               0
  StochasticDepth-77          [-1, 384, 14, 14]               0
          CNBlock-78          [-1, 384, 14, 14]               0
           Conv2d-79          [-1, 384, 14, 14]          19,200
          Permute-80          [-1, 14, 14, 384]               0
        LayerNorm-81          [-1, 14, 14, 384]             768
           Linear-82         [-1, 14, 14, 1536]         591,360
             GELU-83         [-1, 14, 14, 1536]               0
           Linear-84          [-1, 14, 14, 384]         590,208
          Permute-85          [-1, 384, 14, 14]               0
  StochasticDepth-86          [-1, 384, 14, 14]               0
          CNBlock-87          [-1, 384, 14, 14]               0
           Conv2d-88          [-1, 384, 14, 14]          19,200
          Permute-89          [-1, 14, 14, 384]               0
        LayerNorm-90          [-1, 14, 14, 384]             768
           Linear-91         [-1, 14, 14, 1536]         591,360
             GELU-92         [-1, 14, 14, 1536]               0
           Linear-93          [-1, 14, 14, 384]         590,208
          Permute-94          [-1, 384, 14, 14]               0
